customer_id,transaction_date,product_category,amount,city,payment_type
C0000,2025-12-11,Books,61.19,Manchester,Online
C0001,2025-04-24,Electronics,36.36,Belfast,Online
C0002,2025-05-08,Electronics,82.21,Manchester,Online
C0003,2025-10-05,Books,7.98,Glasgow,Cash
C0004,2026-04-06,Books,13.7,Belfast,Online
C0005,2025-12-26,Books,50.46,Manchester,Card
C0006,2025-06-12,Apparel,53.71,Manchester,Card
C0007,2025-07-30,Apparel,1.43,Manchester,Cash
C0008,2025-09-18,Books,62.83,Belfast,Online
C0009,2025-09-06,Apparel,29.49,Belfast,Cash
C0010,2026-01-03,Apparel,127.73,Manchester,Card
C0011,2025-08-10,Electronics,7.19,Glasgow,Card
C0012,2025-08-14,Apparel,33.61,Glasgow,Online
C0013,2025-07-13,Apparel,111.61,Glasgow,Cash
C0014,2025-12-01,Groceries,28.67,London,Online
C0015,2025-04-20,Books,51.37,Belfast,Cash
C0016,2025-10-10,Electronics,37.11,Belfast,Card
C0017,2026-02-20,Groceries,69.31,London,Card
C0018,2025-09-03,Apparel,105.99,Belfast,Cash
C0019,2026-03-02,Groceries,14.91,Belfast,Card
C0020,2025-12-08,Books,3.42,Glasgow,Card
C0021,2026-02-28,Apparel,23.36,Manchester,Online
C0022,2025-05-22,Books,36.29,Manchester,Card
C0023,2025-05-31,Books,39.82,Manchester,Cash
C0024,2025-04-24,Apparel,0.93,Manchester,Online
C0025,2025-08-11,Books,60.29,Belfast,Cash
C0026,2026-01-11,Books,104.29,Manchester,Cash
C0027,2025-08-17,Books,11.7,Glasgow,Online
C0028,2025-06-04,Groceries,128.96,London,Cash
C0029,2025-10-30,Books,47.51,Manchester,Card
C0030,2025-10-25,Groceries,26.67,Belfast,Card
C0031,2025-06-22,Apparel,37.88,Glasgow,Card
C0032,2025-12-03,Electronics,111.88,Belfast,Online
C0033,2025-04-07,Groceries,45.96,Glasgow,Card
C0034,2026-01-17,Apparel,6.63,Glasgow,Online
C0035,2026-04-05,Electronics,61.27,Glasgow,Cash
C0036,2025-10-28,Groceries,106.35,Glasgow,Online
C0037,2025-08-15,Groceries,111.0,Manchester,Cash
C0038,2026-01-18,Electronics,0.03,Glasgow,Online
C0039,2025-12-13,Electronics,6.23,Manchester,Card
C0040,2026-03-02,Groceries,3.32,London,Cash
C0041,2026-02-13,Books,26.43,London,Cash
C0042,2025-05-21,Books,84.01,Manchester,Card
C0043,2025-06-29,Groceries,108.61,Manchester,Online
C0044,2025-12-28,Groceries,22.43,London,Cash
C0045,2025-05-11,Apparel,29.35,Manchester,Online
C0046,2026-01-16,Electronics,8.34,Glasgow,Card
C0047,2025-09-05,Electronics,13.13,Belfast,Online
C0048,2025-05-01,Groceries,23.46,Belfast,Card
C0049,2025-04-10,Electronics,25.2,London,Online
C0050,2025-10-31,Books,82.48,Belfast,Card
C0051,2025-10-16,Apparel,34.6,Glasgow,Online
C0052,2025-09-20,Apparel,58.51,London,Cash
C0053,2026-02-09,Books,72.65,Belfast,Card
C0054,2025-09-20,Books,19.64,Belfast,Online
C0055,2025-04-20,Electronics,73.68,Glasgow,Cash
C0056,2025-09-22,Apparel,31.18,Manchester,Cash
C0057,2026-03-22,Groceries,14.77,London,Online
C0058,2025-08-10,Groceries,67.17,Glasgow,Cash
C0059,2025-12-04,Electronics,111.64,Belfast,Card
C0060,2026-01-07,Electronics,6.55,Glasgow,Online
C0061,2026-03-20,Books,27.39,London,Card
C0062,2025-07-28,Apparel,53.75,Manchester,Cash
C0063,2026-01-07,Apparel,42.88,Manchester,Online
C0064,2025-08-21,Books,48.81,London,Cash
C0065,2025-12-26,Books,35.87,Glasgow,Card
C0066,2025-04-12,Electronics,0.09,Manchester,Card
C0067,2025-06-13,Books,39.09,London,Cash
C0068,2026-01-27,Electronics,57.11,Manchester,Card
C0069,2025-06-10,Apparel,15.35,Manchester,Card
C0070,2025-07-31,Apparel,61.12,Manchester,Online
C0071,2025-06-17,Books,4.51,Glasgow,Online
C0072,2025-11-05,Groceries,37.65,Belfast,Card
C0073,2025-08-03,Groceries,51.42,Belfast,Cash
C0074,2025-08-16,Apparel,7.83,Manchester,Cash
C0075,2026-03-28,Groceries,8.57,London,Online
C0076,2025-07-08,Books,44.52,Glasgow,Card
C0077,2025-09-23,Groceries,19.55,Manchester,Online
C0078,2025-09-08,Electronics,5.92,London,Card
C0079,2026-03-23,Electronics,1.1,Belfast,Cash
C0080,2025-08-08,Electronics,17.84,London,Card
C0081,2025-10-19,Groceries,29.12,Manchester,Cash
C0082,2025-07-18,Books,4.06,Glasgow,Cash
C0083,2025-07-26,Groceries,47.61,Belfast,Online
C0084,2025-07-11,Apparel,110.64,London,Card
C0085,2025-07-27,Groceries,78.43,Manchester,Online
C0086,2025-11-27,Apparel,68.8,Manchester,Card
C0087,2025-06-02,Groceries,12.4,Manchester,Cash
C0088,2026-04-05,Apparel,64.29,Manchester,Cash
C0089,2025-05-25,Apparel,1028.8,London,Card
C0090,2025-08-16,Electronics,45.35,London,Card
C0091,2025-06-26,Electronics,78.32,London,Cash
C0092,2026-01-09,Electronics,30.63,Belfast,Cash
C0093,2025-09-30,Groceries,14.09,Glasgow,Online
C0094,2025-09-23,Apparel,70.41,Glasgow,Online
C0095,2025-11-12,Apparel,31.31,London,Online
C0096,2025-10-01,Groceries,187.38,Belfast,Online
C0097,2025-11-15,Apparel,37.37,Glasgow,Cash
C0098,2025-10-20,Books,1.57,Glasgow,Cash
C0099,2025-05-14,Books,6.95,London,Card
C0100,2025-10-18,Groceries,11.47,Belfast,Cash
C0101,2025-07-03,Apparel,6.31,Belfast,Card
C0102,2025-11-28,Books,8.0,Manchester,Card
C0103,2025-10-20,Apparel,31.65,Belfast,Card
C0104,2025-08-22,Electronics,22.91,Belfast,Online
C0105,2025-05-17,Groceries,3.16,Glasgow,Online
C0106,2025-11-17,Apparel,34.03,Glasgow,Card
C0107,2025-11-04,Groceries,18.1,Manchester,Card
C0108,2025-09-24,Apparel,2.49,London,Online
C0109,2026-02-26,Electronics,19.12,Manchester,Cash
C0110,2025-07-27,Groceries,28.73,Belfast,Online
C0111,2025-07-11,Books,143.82,Glasgow,Online
C0112,2025-07-28,Books,72.21,Glasgow,Card
C0113,2025-09-02,Books,9.12,Belfast,Cash
C0114,2025-05-26,Books,56.32,London,Cash
C0115,2026-01-24,Electronics,71.29,Belfast,Cash
C0116,2025-10-04,Groceries,20.49,London,Online
C0117,2025-11-29,Books,7.28,Glasgow,Cash
C0118,2025-10-26,Electronics,87.52,Manchester,Card
C0119,2025-09-15,Groceries,36.41,London,Online
C0120,2025-09-30,Apparel,158.96,Manchester,Card
C0121,2025-11-23,Books,28.6,Belfast,Cash
C0122,2025-06-19,Apparel,25.57,London,Cash
C0123,2025-12-09,Books,69.02,Manchester,Cash
C0124,2026-02-04,Books,159.66,London,Online
C0125,2025-09-19,Electronics,1.24,Glasgow,Online
C0126,2025-09-16,Apparel,0.96,London,Cash
C0127,2025-12-07,Electronics,17.18,London,Cash
C0128,2025-10-13,Apparel,29.46,Glasgow,Cash
C0129,2025-11-25,Apparel,37.4,Belfast,Cash
C0130,2025-09-27,Groceries,4.24,Belfast,Online
C0131,2026-03-05,Apparel,37.83,Belfast,Card
C0132,2025-06-12,Books,22.14,Manchester,Card
C0133,2025-06-25,Apparel,58.91,Glasgow,Cash
C0134,2025-05-27,Apparel,52.36,London,Online
C0135,2025-07-08,Electronics,12.14,Manchester,Card
C0136,2025-12-27,Apparel,10.22,Belfast,Cash
C0137,2026-01-11,Books,43.27,London,Card
C0138,2025-11-18,Electronics,55.93,Belfast,Online
C0139,2026-03-19,Apparel,35.88,Belfast,Cash
C0140,2026-03-18,Apparel,5.61,Belfast,Online
C0141,2025-09-23,Books,17.54,Glasgow,Card
C0142,2025-10-11,Books,96.94,Belfast,Online
C0143,2025-09-30,Books,187.33,Belfast,Cash
C0144,2025-06-30,Apparel,38.84,Manchester,Card
C0145,2025-12-04,Apparel,234.71,Glasgow,Cash
C0146,2025-09-06,Electronics,62.78,Manchester,Cash
C0147,2026-01-04,Apparel,25.64,London,Cash
C0148,2025-06-16,Books,16.76,Belfast,Cash
C0149,2025-09-10,Books,151.31,Glasgow,Online
C0150,2025-12-11,Books,20.33,Manchester,Online
C0151,2025-10-13,Apparel,6.79,Belfast,Card
C0152,2025-12-31,Books,159.87,Glasgow,Online
C0153,2025-08-05,Books,29.98,Glasgow,Online
C0154,2025-07-06,Groceries,10.8,Manchester,Online
C0155,2025-07-19,Electronics,54.29,Manchester,Card
C0156,2025-06-07,Electronics,143.67,Glasgow,Online
C0157,2025-12-01,Books,1.47,London,Online
C0158,2026-01-14,Groceries,43.76,London,Card
C0159,2025-06-22,Electronics,39.99,London,Cash
C0160,2025-06-02,Apparel,13.27,Glasgow,Card
C0161,2025-05-06,Books,24.72,Belfast,Card
C0162,2025-12-31,Groceries,2.85,London,Cash
C0163,2025-07-16,Apparel,45.81,Manchester,Cash
C0164,2025-05-17,Books,0.41,Manchester,Card
C0165,2025-07-02,Groceries,29.99,Belfast,Card
C0166,2025-04-18,Apparel,10.74,Belfast,Card
C0167,2025-06-12,Books,13.5,London,Cash
C0168,2025-09-20,Groceries,124.18,Glasgow,Cash
C0169,2026-01-07,Groceries,62.93,Manchester,Online
C0170,2025-12-10,Books,16.54,Belfast,Card
C0171,2026-04-06,Groceries,26.92,London,Cash
C0172,2025-07-10,Books,10.67,Glasgow,Online
C0173,2025-06-03,Groceries,17.68,Manchester,Cash
C0174,2025-11-08,Books,50.82,Manchester,Online
C0175,2025-05-30,Apparel,83.05,Belfast,Cash
C0176,2025-06-01,Groceries,63.27,Glasgow,Card
C0177,2025-06-07,Books,53.13,London,Online
C0178,2026-03-17,Electronics,58.51,London,Cash
C0179,2025-08-09,Groceries,51.41,Belfast,Cash
C0180,2025-12-20,Groceries,48.78,Glasgow,Card
C0181,2025-11-12,Books,49.82,Glasgow,Card
C0182,2026-01-28,Electronics,4.78,Manchester,Cash
C0183,2026-02-16,Books,3.08,Manchester,Cash
C0184,2025-04-25,Groceries,2.37,Belfast,Card
C0185,2025-11-08,Books,62.5,Manchester,Cash
C0186,2025-04-10,Books,13.73,Glasgow,Card
C0187,2025-05-15,Groceries,9.59,Manchester,Cash
C0188,2026-01-17,Books,46.29,Manchester,Card
C0189,2025-07-28,Apparel,34.38,Glasgow,Card
C0190,2025-08-05,Apparel,35.25,Manchester,Card
C0191,2025-10-11,Groceries,141.04,Belfast,Cash
C0192,2026-02-05,Books,10.92,Glasgow,Cash
C0193,2025-07-12,Books,51.26,London,Online
C0194,2025-11-06,Groceries,82.41,Belfast,Cash
C0195,2025-06-30,Electronics,3.24,Glasgow,Card
C0196,2026-03-20,Apparel,89.23,London,Cash
C0197,2026-04-05,Groceries,76.89,Manchester,Card
C0198,2025-07-05,Groceries,53.72,Glasgow,Online
C0199,2025-05-01,Groceries,14.73,Glasgow,Cash
C0200,2025-10-30,Groceries,2.19,London,Online
C0201,2025-06-19,Groceries,0.65,Belfast,Card
C0202,2026-01-23,Apparel,30.92,Belfast,Card
C0203,2025-07-13,Electronics,49.95,Belfast,Card
C0204,2026-01-02,Books,56.52,Glasgow,Online
C0205,2025-07-23,Groceries,37.32,Manchester,Cash
