customer_id,transaction_date,product_category,amount,city,payment_type,anomaly
C0000,2025-12-11,Books,61.19,Manchester,Online,False
C0001,2025-04-24,Electronics,36.36,Belfast,Online,False
C0002,2025-05-08,Electronics,82.21,Manchester,Online,False
C0003,2025-10-05,Books,7.98,Glasgow,Cash,False
C0004,2026-04-06,Books,13.7,Belfast,Online,False
C0005,2025-12-26,Books,50.46,Manchester,Card,False
C0006,2025-06-12,Apparel,53.71,Manchester,Card,False
C0007,2025-07-30,Apparel,1.43,Manchester,Cash,False
C0008,2025-09-18,Books,62.83,Belfast,Online,False
C0009,2025-09-06,Apparel,29.49,Belfast,Cash,False
C0010,2026-01-03,Apparel,127.73,Manchester,Card,True
C0011,2025-08-10,Electronics,7.19,Glasgow,Card,False
C0012,2025-08-14,Apparel,33.61,Glasgow,Online,False
C0013,2025-07-13,Apparel,111.61,Glasgow,Cash,True
C0014,2025-12-01,Groceries,28.67,London,Online,False
C0015,2025-04-20,Books,51.37,Belfast,Cash,False
C0016,2025-10-10,Electronics,37.11,Belfast,Card,False
C0017,2026-02-20,Groceries,69.31,London,Card,False
C0018,2025-09-03,Apparel,105.99,Belfast,Cash,False
C0019,2026-03-02,Groceries,14.91,Belfast,Card,False
C0020,2025-12-08,Books,3.42,Glasgow,Card,False
C0021,2026-02-28,Apparel,23.36,Manchester,Online,False
C0022,2025-05-22,Books,36.29,Manchester,Card,False
C0023,2025-05-31,Books,39.82,Manchester,Cash,False
C0024,2025-04-24,Apparel,0.93,Manchester,Online,False
C0025,2025-08-11,Books,60.29,Belfast,Cash,False
C0026,2026-01-11,Books,104.29,Manchester,Cash,False
C0027,2025-08-17,Books,11.7,Glasgow,Online,False
C0028,2025-06-04,Groceries,128.96,London,Cash,True
C0029,2025-10-30,Books,47.51,Manchester,Card,False
C0030,2025-10-25,Groceries,26.67,Belfast,Card,False
C0031,2025-06-22,Apparel,37.88,Glasgow,Card,False
C0032,2025-12-03,Electronics,111.88,Belfast,Online,True
C0033,2025-04-07,Groceries,45.96,Glasgow,Card,False
C0034,2026-01-17,Apparel,6.63,Glasgow,Online,False
C0035,2026-04-05,Electronics,61.27,Glasgow,Cash,False
C0036,2025-10-28,Groceries,106.35,Glasgow,Online,True
C0037,2025-08-15,Groceries,111.0,Manchester,Cash,True
C0038,2026-01-18,Electronics,0.03,Glasgow,Online,False
C0039,2025-12-13,Electronics,6.23,Manchester,Card,False
C0040,2026-03-02,Groceries,3.32,London,Cash,False
C0041,2026-02-13,Books,26.43,London,Cash,False
C0042,2025-05-21,Books,84.01,Manchester,Card,False
C0043,2025-06-29,Groceries,108.61,Manchester,Online,True
C0044,2025-12-28,Groceries,22.43,London,Cash,False
C0045,2025-05-11,Apparel,29.35,Manchester,Online,False
C0046,2026-01-16,Electronics,8.34,Glasgow,Card,False
C0047,2025-09-05,Electronics,13.13,Belfast,Online,False
C0048,2025-05-01,Groceries,23.46,Belfast,Card,False
C0049,2025-04-10,Electronics,25.2,London,Online,False
C0050,2025-10-31,Books,82.48,Belfast,Card,False
C0051,2025-10-16,Apparel,34.6,Glasgow,Online,False
C0052,2025-09-20,Apparel,58.51,London,Cash,False
C0053,2026-02-09,Books,72.65,Belfast,Card,False
C0054,2025-09-20,Books,19.64,Belfast,Online,False
C0055,2025-04-20,Electronics,73.68,Glasgow,Cash,False
C0056,2025-09-22,Apparel,31.18,Manchester,Cash,False
C0057,2026-03-22,Groceries,14.77,London,Online,False
C0058,2025-08-10,Groceries,67.17,Glasgow,Cash,False
C0059,2025-12-04,Electronics,111.64,Belfast,Card,True
C0060,2026-01-07,Electronics,6.55,Glasgow,Online,False
C0061,2026-03-20,Books,27.39,London,Card,False
C0062,2025-07-28,Apparel,53.75,Manchester,Cash,False
C0063,2026-01-07,Apparel,42.88,Manchester,Online,False
C0064,2025-08-21,Books,48.81,London,Cash,False
C0065,2025-12-26,Books,35.87,Glasgow,Card,False
C0066,2025-04-12,Electronics,0.09,Manchester,Card,False
C0067,2025-06-13,Books,39.09,London,Cash,False
C0068,2026-01-27,Electronics,57.11,Manchester,Card,False
C0069,2025-06-10,Apparel,15.35,Manchester,Card,False
C0070,2025-07-31,Apparel,61.12,Manchester,Online,False
C0071,2025-06-17,Books,4.51,Glasgow,Online,False
C0072,2025-11-05,Groceries,37.65,Belfast,Card,False
C0073,2025-08-03,Groceries,51.42,Belfast,Cash,False
C0074,2025-08-16,Apparel,7.83,Manchester,Cash,False
C0075,2026-03-28,Groceries,8.57,London,Online,False
C0076,2025-07-08,Books,44.52,Glasgow,Card,False
C0077,2025-09-23,Groceries,19.55,Manchester,Online,False
C0078,2025-09-08,Electronics,5.92,London,Card,False
C0079,2026-03-23,Electronics,1.1,Belfast,Cash,False
